id,model,img,src_link,company_id,created_at,updated_at
707,XC90,https://ic1.maxabout.us/autos/cars_india//V/2017/11/volvo-xc90-inscription.jpg/thumb/120,https://autos.maxabout.com/cars/volvo/xc90,Volvo Cars,2022-09-08 08:44:20.945991+00:00,2022-09-08 08:44:20.945994+00:00
706,XC60,https://ic1.maxabout.us/autos/cars_india/volvo-30/xc60-211-2012-new-xc60-d5-diesel2.jpg/thumb/120,https://autos.maxabout.com/cars/volvo/xc60,Volvo Cars,2022-09-08 08:44:20.945785+00:00,2022-09-08 08:44:20.945788+00:00
705,V90,https://ic1.maxabout.us/autos/cars_india//V/2017/11/volvo-v90-cross-country-new.jpg/thumb/120,https://autos.maxabout.com/cars/volvo/v90,Volvo Cars,2022-09-08 08:44:20.945573+00:00,2022-09-08 08:44:20.945576+00:00
704,V40,https://ic1.maxabout.us/autos/cars_india//V/2017/11/volvo-v40-cross-country.jpg/thumb/120,https://autos.maxabout.com/cars/volvo/v40,Volvo Cars,2022-09-08 08:44:20.945366+00:00,2022-09-08 08:44:20.945369+00:00
703,S90,https://ic1.maxabout.us/autos/cars_india//V/2017/11/volvo-s90-new.jpg/thumb/120,https://autos.maxabout.com/cars/volvo/s90,Volvo Cars,2022-09-08 08:44:20.945158+00:00,2022-09-08 08:44:20.945161+00:00
702,S80,https://ic1.maxabout.us/autos/cars_india/volvo-30/s80-122-s80-d5diesel.jpg/thumb/120,https://autos.maxabout.com/cars/volvo/s80,Volvo Cars,2022-09-08 08:44:20.944926+00:00,2022-09-08 08:44:20.944930+00:00
701,S60,https://ic1.maxabout.us/autos/cars_india//V/2017/11/volvo-s60-r-design-new.jpg/thumb/120,https://autos.maxabout.com/cars/volvo/s60,Volvo Cars,2022-09-08 08:44:20.944719+00:00,2022-09-08 08:44:20.944722+00:00
700,Virtus,https://ic1.maxabout.us/autos/cars_india//N/2022/6/new-volkswagen-virtus-price-in-india.jpg/thumb/120,https://autos.maxabout.com/cars/volkswagen/virtus,Volkswagen Cars,2022-09-08 08:44:20.944512+00:00,2022-09-08 08:44:20.944515+00:00
699,Vento TSi,https://ic1.maxabout.us/autos/cars_india//V/2014/10/volkswagen-vento-tsi-p2.jpg/thumb/120,https://autos.maxabout.com/cars/volkswagen/vento-tsi,Volkswagen Cars,2022-09-08 08:44:20.944310+00:00,2022-09-08 08:44:20.944313+00:00
698,Vento,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-volkswagen-vento-price-in-india.jpg/thumb/120,https://autos.maxabout.com/cars/volkswagen/vento,Volkswagen Cars,2022-09-08 08:44:20.944098+00:00,2022-09-08 08:44:20.944101+00:00
697,Tiguan,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-volkswagen-tiguan-price-in-india-0.jpg/thumb/120,https://autos.maxabout.com/cars/volkswagen/tiguan,Volkswagen Cars,2022-09-08 08:44:20.943891+00:00,2022-09-08 08:44:20.943895+00:00
696,Taigun,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-volkswagen-taigun-price-in-india.jpg/thumb/120,https://autos.maxabout.com/cars/volkswagen/taigun,Volkswagen Cars,2022-09-08 08:44:20.943685+00:00,2022-09-08 08:44:20.943689+00:00
695,T-Roc,https://ic1.maxabout.us/autos/cars_india//N/2022/4/new-volkswagen-t-roc-price-in-india.jpg/thumb/120,https://autos.maxabout.com/cars/volkswagen/t-roc,Volkswagen Cars,2022-09-08 08:44:20.943479+00:00,2022-09-08 08:44:20.943482+00:00
