link,title,logo_img,company_name,model_count,model_img,model_link,model_name,price_range
https://autos.maxabout.com/cars/apollo,Apollo Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/gumpert-77.jpg/,Apollo,2,https://ic1.maxabout.us/autos/cars_india/gumpert-77/apollo-921-gumpert-apollo-sport.jpg/thumb/120,https://autos.maxabout.com/cars/apollo/gumpert,Apollo Gumpert,"₹ 500,00,000"
https://autos.maxabout.com/cars/ariel,Ariel Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/ariel-81.jpg/,Ariel,1,https://ic1.maxabout.us/autos/cars_india/ariel-81/atom-989-atom-3.jpg/thumb/120,https://autos.maxabout.com/cars/ariel/atom,Ariel Atom,"₹ 55,00,000 - ₹ 85,00,000"
https://autos.maxabout.com/cars/ashok-leyland,Ashok Leyland Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/ashok-leyland-83.jpg/,Ashok Leyland,6,https://ic1.maxabout.us/autos/cars_india//A/2021/9/ashok-leyland-bada-dost-i3.jpg/thumb/120,https://autos.maxabout.com/cars/ashok-leyland/bada-dost,Ashok Leyland Bada Dost,"₹ 7,75,000 - ₹ 7,99,000"
https://autos.maxabout.com/cars/ashok-leyland,Ashok Leyland Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/ashok-leyland-83.jpg/,Ashok Leyland,6,https://ic1.maxabout.us/autos/cars_india//A/2021/9/ashok-leyland-dost-cng.jpg/thumb/120,https://autos.maxabout.com/cars/ashok-leyland/dost-cng,Ashok Leyland Dost CNG,"₹ 5,63,000 - ₹ 5,73,000"
https://autos.maxabout.com/cars/ashok-leyland,Ashok Leyland Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/ashok-leyland-83.jpg/,Ashok Leyland,6,https://ic1.maxabout.us/autos/cars_india//A/2021/9/ashok-leyland-dost-lite.jpg/thumb/120,https://autos.maxabout.com/cars/ashok-leyland/dost-lite,Ashok Leyland Dost Lite,"₹ 7,10,000 - ₹ 7,30,000"
https://autos.maxabout.com/cars/ashok-leyland,Ashok Leyland Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/ashok-leyland-83.jpg/,Ashok Leyland,6,https://ic1.maxabout.us/autos/cars_india//A/2021/9/ashok-leyland-dost-plus.jpg/thumb/120,https://autos.maxabout.com/cars/ashok-leyland/dost-plus,Ashok Leyland Dost Plus,"₹ 7,24,000 - ₹ 7,74,000"
https://autos.maxabout.com/cars/ashok-leyland,Ashok Leyland Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/ashok-leyland-83.jpg/,Ashok Leyland,6,https://ic1.maxabout.us/autos/cars_india//A/2021/9/ashok-leyland-dost-strong.jpg/thumb/120,https://autos.maxabout.com/cars/ashok-leyland/dost-strong,Ashok Leyland Dost Strong,"₹ 6,68,000 - ₹ 6,78,000"
https://autos.maxabout.com/cars/aston-martin,Aston Martin Cars,https://ic1.maxabout.us//autos/cars_india/company-logos//A/2014/10/aston-martin-logo.jpg/,Aston Martin,12,https://ic1.maxabout.us/autos/cars_india//A/2015/3/aston-martin-db9-coupe-p.jpg/thumb/120,https://autos.maxabout.com/cars/aston-martin/db9,Aston Martin DB9,"₹ 190,00,000 - ₹ 300,00,000"
https://autos.maxabout.com/cars/aston-martin,Aston Martin Cars,https://ic1.maxabout.us//autos/cars_india/company-logos//A/2014/10/aston-martin-logo.jpg/,Aston Martin,12,https://ic1.maxabout.us/autos/cars_india//A/2015/3/aston-martin-rapide-p.jpg/thumb/120,https://autos.maxabout.com/cars/aston-martin/rapide,Aston Martin Rapide,"₹ 350,00,000 - ₹ 440,00,000"
https://autos.maxabout.com/cars/aston-martin,Aston Martin Cars,https://ic1.maxabout.us//autos/cars_india/company-logos//A/2014/10/aston-martin-logo.jpg/,Aston Martin,12,https://ic1.maxabout.us/autos/cars_india//A/2015/3/aston-martin-vanquish-p.jpg/thumb/120,https://autos.maxabout.com/cars/aston-martin/vanquish,Aston Martin Vanquish,"₹ 385,00,000"
https://autos.maxabout.com/cars/aston-martin,Aston Martin Cars,https://ic1.maxabout.us//autos/cars_india/company-logos//A/2014/10/aston-martin-logo.jpg/,Aston Martin,12,https://ic1.maxabout.us/autos/cars_india//A/2015/3/aston-martin-v12-vantage-p.jpg/thumb/120,https://autos.maxabout.com/cars/aston-martin/v8-vantage,Aston Martin Vantage,"₹ 186,00,000 - ₹ 350,00,000"
https://autos.maxabout.com/cars/audi,Audi Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/audi-1.jpg/,Audi,52,https://ic1.maxabout.us/autos/cars_india//A/2017/11/audi-a3-new.jpg/thumb/120,https://autos.maxabout.com/cars/audi/a3,Audi A3,"₹ 28,95,000 - ₹ 50,35,500"
https://autos.maxabout.com/cars/audi,Audi Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/audi-1.jpg/,Audi,52,https://ic1.maxabout.us/autos/cars_india//A/2017/11/audi-a4-new.jpg/thumb/120,https://autos.maxabout.com/cars/audi/a4,Audi A4,"₹ 41,47,000 - ₹ 46,94,000"
https://autos.maxabout.com/cars/audi,Audi Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/audi-1.jpg/,Audi,52,https://ic1.maxabout.us/autos/cars_india//A/2017/11/audi-s5-new.jpg/thumb/120,https://autos.maxabout.com/cars/audi/a5,Audi A5,"₹ 55,40,000 - ₹ 72,41,000"
https://autos.maxabout.com/cars/audi,Audi Cars,https://ic1.maxabout.us//autos/cars_india/company-logos/audi-1.jpg/,Audi,52,https://ic1.maxabout.us/autos/cars_india//A/2017/11/audi-a6-new.jpg/thumb/120,https://autos.maxabout.com/cars/audi/a6,Audi A6,"₹ 55,88,000 - ₹ 56,69,000"
