company_name,sub_company,model_link,model_name,variant_link,variant_name,variant_info,variant_fuel_type,price
Apollo,Apollo Cars,https://autos.maxabout.com/cars/apollo/gumpert,Apollo Gumpert,https://autos.maxabout.com/cars/apollo/gumpert,Apollo Gumpert,,,
Ariel,Ariel Cars,https://autos.maxabout.com/cars/ariel/atom,Ariel Atom,https://autos.maxabout.com/cars/ariel/atom,Ariel Atom,,,
Ashok Leyland,Ashok Leyland Cars,https://autos.maxabout.com/cars/ashok-leyland/bada-dost,Ashok Leyland Bada Dost,https://autos.maxabout.com/cars/ashok-leyland/bada-dost/bada-dost-i3-ls,Ashok Leyland Bada Dost i3 LS,"1478cc, 1.5L Turbo Charged Inter cooled with Lean NOx Trap (LNT), 3 Cylinder Diesel Engine",Diesel,"₹ 7,75,000"
Ashok Leyland,Ashok Leyland Cars,https://autos.maxabout.com/cars/ashok-leyland/bada-dost,Ashok Leyland Bada Dost,https://autos.maxabout.com/cars/ashok-leyland/bada-dost/bada-dost-i3-cbc,Ashok Leyland Bada Dost i3 CBC,"1478cc, 1.5L Turbo Charged Inter cooled with Lean NOx Trap (LNT), 3 Cylinder Diesel Engine",Diesel,"₹ 7,75,000"
Ashok Leyland,Ashok Leyland Cars,https://autos.maxabout.com/cars/ashok-leyland/bada-dost,Ashok Leyland Bada Dost,https://autos.maxabout.com/cars/ashok-leyland/bada-dost/bada-dost-i4-ls,Ashok Leyland Bada Dost i4 LS,"1478cc, 1.5L Turbo Charged Inter cooled with Lean NOx Trap (LNT), 3 Cylinder Diesel Engine",Diesel,"₹ 7,79,000"
Ashok Leyland,Ashok Leyland Cars,https://autos.maxabout.com/cars/ashok-leyland/bada-dost,Ashok Leyland Bada Dost,https://autos.maxabout.com/cars/ashok-leyland/bada-dost/bada-dost-i4-cbc,Ashok Leyland Bada Dost i4 CBC,"1478cc, 1.5L Turbo Charged Inter cooled with Lean NOx Trap (LNT), 3 Cylinder Diesel Engine",Diesel,"₹ 7,79,000"
Ashok Leyland,Ashok Leyland Cars,https://autos.maxabout.com/cars/ashok-leyland/bada-dost,Ashok Leyland Bada Dost,https://autos.maxabout.com/cars/ashok-leyland/bada-dost/bada-dost-i3-lx,Ashok Leyland Bada Dost i3 LX,"1478cc, 1.5L Turbo Charged Inter cooled with Lean NOx Trap (LNT), 3 Cylinder Diesel Engine",Diesel,"₹ 7,95,000"
Ashok Leyland,Ashok Leyland Cars,https://autos.maxabout.com/cars/ashok-leyland/bada-dost,Ashok Leyland Bada Dost,https://autos.maxabout.com/cars/ashok-leyland/bada-dost/bada-dost-i4-lx,Ashok Leyland Bada Dost i4 LX,"1478cc, 1.5L Turbo Charged Inter cooled with Lean NOx Trap (LNT), 3 Cylinder Diesel Engine",Diesel,"₹ 7,99,000"
Ashok Leyland,Ashok Leyland Cars,https://autos.maxabout.com/cars/ashok-leyland/dost-cng,Ashok Leyland Dost CNG,https://autos.maxabout.com/cars/ashok-leyland/dost-cng,Ashok Leyland Dost CNG,,,
Ashok Leyland,Ashok Leyland Cars,https://autos.maxabout.com/cars/ashok-leyland/dost-lite,Ashok Leyland Dost Lite,https://autos.maxabout.com/cars/ashok-leyland/dost-lite,Ashok Leyland Dost Lite,,,
Ashok Leyland,Ashok Leyland Cars,https://autos.maxabout.com/cars/ashok-leyland/dost-plus,Ashok Leyland Dost Plus,https://autos.maxabout.com/cars/ashok-leyland/dost-plus/dost-plus-le,Ashok Leyland Dost Plus LE,"1478cc, 1.5L, 3 Cylinder Diesel Engine",Diesel,"₹ 7,24,000"
